snp	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
2												I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, G2a2b2a1a1b1a1a2a, 1~, 1~, 1~, 1~, 1~, 1~, 1~, 1~, 1~, 1~, 1~, 1~, 1~, 1~, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 1b, 2~, 2~, 2~, 2~, 2~, 2~, 2~, c, c, c, c, c, c, c, c, c, c, c, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, b2, b2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, I1a2a1a1a1a2b, I1a2a1a1a1a2b4, I1a2a1a1d1a1a1b, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2a, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, 2b, I1a2a1a1d1a1a12, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, 2a1a, I1a2a1b~, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a, c2a, c2a, c2a, c2a, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 3b, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, b1~, b1~, b1~, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, I2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1c, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1d, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e1a, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1e2, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, 1f, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, a1a~, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, 3b1, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2~, a2a, a2a, a2a, a2a, a2a, a2a, a2a, a2a, a2a, a2a, a2a, a2a, a2a, a2a, a2a, a2a, a2a, b2a, b2a, b2a, b2a, b2a, b2a, b2a, b2a, b2a, b2a, b2a, b2a, c1a, c1a, c1a, c1a, c1a, c1a, c1a, c1a1, c1a1, c1a1, c1a1, c1a1, c1a1, c1a1, c1a1, c2b, c2b, c2b, c2b, I2a1b2a1a1a3a1, O2a1c1a1a1a1a1a1a1a, Q1b1a1a1e2
2. CTS2123												B3a
2001.
Kayser et al			O3a, O3a									
2002.
Deng et al			O3a									
2003.
Xue Y			O3a									
2003. 
Mohyuddin et al			O3a									
2003. 
Regueiro et al			O3a									
2004.
Cox M P & Lahr M M			O3a									
2004.
Hammer et al			O3a									
2004.
Shi et al			O3a									
2005.
Su et al			O3a									
2006

Corrections			O3a									
2006.
Hudjashov G			O3a									
2006.
Kayser et al. 
Reduced Y-Chromosome			O3a									
2006.
Mona et al			O3a									
2006.
Rootsi S			O3a									
2006.
Sengupta et al			O3a									
2006.
Shen et al			O3a									
2006. 
Cruciani et al			O3a									
2006. 
Karafet et al			O3a									
2007
Thangaraj et al			O3a									
2007. 
Paracchini et al			O3a									
2008.
Supplementary Material.
Karafet et al			O3a									
2008. International Society of Genetic Genealogy.
	All Rights Reserved.			O3a									
204											N1c1a1a1c2b	
206											N1c1a1a1c2b, N1c1a1a1c2b1, N1c1a1a1c2b2	2b
207											N1c1a1a1c2b, N1c1a1a1c2b1, N1c1a1a1c2b2, N1c1a1a1c2b2a	
208											N1c1a1a1c2b, N1c1a1a1c2b1, N1c1a1a1c2b2, N1c1a1a1c2b2a, N1c1a1a1c2b2b	N1a1a1a1a3b2b2
21072											E1b1b1b1b1	E1b1b1b1b1
22554^											E1b1a1a1a1c1a1a3a1c1a1	
24:248-260			O3a									
280												Q1a1b2
281												Q1a1b2b
28641												R2a2b1b2c1
2941												O2a1c1a1a1a1f1b
2a												I, b~, b~, b~, 1, 1b, d, 2b, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a2, c2a3, c2a3, c2a3, d1, d1, d1, d1a, d1a, d1a, d1b, d1b, d1b, d2, d2, d2, c~, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3~, 3a1, 3a1, 3a1, 3a2, 3a2, 3a2, 4, 4, 4, 4a, 4a, 4a, 4b, 4b, 4b, 4b2, 4b2, 4b2, 5, 5b1, 5b1, 5b1, 5b1a, 5b1a, 5b1a, 5b1a1, 5b1a1, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, 1e, 1e1, 1e1a, 1e2
2a1												I, I, I, b~, b~, b~, b~, 1, 1, 1, 1b, 1b, 1b, d, d, d, 2a, 2a, 2a, 2b, 2b, 2b, 2a1a, 2a1a, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a2, c2a2, c2a3, c2a3, c2a3, c2a3, d1, d1, d1, d1, d1a, d1a, d1a, d1a, d1b, d1b, d1b, d1b, d2, d2, d2, d2, c~, c~, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3~, 3~, 3a1, 3a1, 3a1, 3a1, 3a2, 3a2, 3a2, 3a2, 4, 4, 4, 4, 4a, 4a, 4a, 4a, 4b, 4b, 4b, 4b, 4b2, 4b2, 4b2, 4b2, 5, 5, 5, 5b1, 5b1, 5b1, 5b1, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 1c, 1c, 1c, 1d, 1d, 1d, 1e, 1e, 1e, 1e1, 1e1, 1e1, 1e1a, 1e1a, 1e1a, 1e2, 1e2, 1e2
2a1a												I, b~, b~, 1, 1b, d, 2a, 2b, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a3, c2a3, d1, d1, d1a, d1a, d1b, d1b, d2, d2, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3a1, 3a1, 3a2, 3a2, 4, 4, 4a, 4a, 4b, 4b, 4b2, 4b2, 5, 5b1, 5b1, 5b1a, 5b1a, 5b1a1, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, 1e, 1e1, 1e1a, 1e2
2a1a1a1a1a1a5f												b~, 1b, d, 2b, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1
2a4												I1a2a1a1d1a1b
2a~												R1b1a1a2a1a2c1a4c
2b												b~, d, I1a2a1a1d1a1a10, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, Q1b2b1b
2b1												I2a2a1b2a1b
2b1a1b~												B
2b2a												N1a1a1a1a3b
2c												6j
2c1a5c3b1a1												1a, R1b1a1a2a
2c1a5c3e												R1b1a1a2a1a
2~												I, I, b~, b~, 1, 1, 1~, 1b, 1b, G2a2b2a1a1b1a1f, c, d, d, 3, I1a1b1a4a1c2a, 2a, 2b, 2b, 2a1, 2a1a, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a3, c2a3, d1, d1, d1a, d1a, d1b, d1b, d2, d2, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3a, 3a1, 3a1, 3a2, 3a2, 3b, 4, 4, 4a, 4a, 4b, 4b, 4b2, 4b2, 5, 5, 5b1, 5b1, 5b1a, 5b1a, 5b1a1, 5b1a1, 2a1a1a1a1a1a5f, 2a1a1a1a1a1a5f, 1c, 1c, 1d, 1d, 1e, 1e, 1e1, 1e1, 1e1a, 1e1a, 1e2, 1e2, 1f, a1a~, 3b1, a2~, a2a, b2a, c1a, c1a1, 6k2h
3												I, b~, 1, 1b, d, I1a1b1a4a1a1g, 2a, 2b, I1a2a1a1d1a1a13a, 2a1, 2a1a, I2a1a1a1a1a1a3e, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, 1e, 1e1, 1e1a, 1e2, a1a~, Q1b1a2a2a, Q1b2b1b, R1b1a1a2a1a2c1a5d
30040												I2a2a1b2a1a3a1~
31848												1a, G2a2b2a1a1b1a1e
3348												R1b1a1a2a1a2c1a5a2a2a
35008											N1c1a1a1b1a1a1a1a1a1a, N1c1a1a1b1a1a1a1a1a1a1~, N1c1a1a1b1a1a1a1a1a1a2~, N1c1a1a1b1a1a1a1a1a1b~	N1a1a1a1a2a1a1a1a1a1a1a2~
35921												Q1b1a1a1i1a1b, Q1b1a1a1i1a2
360003												Q1a2a1a3
36525												G2a2a2b
38												Q1b1a1a1b1a4b
39692												G2a2b2a1a1b1a1a2b2a, G2a2b2a1a1b1a1a2b2a~
3a												I, b~, 1, 1b, d, 3, 2a, 2b, 2a1, 2a1a, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a3, c2a3, d1, d1, d1a, d1a, d1b, d1b, d2, d2, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, 1e, 1e1, 1e1a, 1e2, a1a~
3a1												I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e2, 3~
3a2												I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e2, 3~, 3a1
3b												I, b~, 1, 1b, d, 3, 2a, 2b, 2a1, 2a1a, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a2, c2a3, c2a3, c2a3, d1, d1, d1, d1a, d1a, d1a, d1b, d1b, d1b, d2, d2, d2, c~, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3~, 3a, 3a1, 3a1, 3a1, 3a2, 3a2, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, 1e, 1e1, 1e1a, 1e2, a1a~
3b1												I, b~, 1, 1b, d, 3, 2a, 2b, 2a1, 2a1a, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a, 3a1, 3a2, 3b, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, 1e, 1e1, 1e1a, 1e2, 1f, a1a~
3c												J1a2a1a2d2b2b2c4d2a2a6a1e2c4
3~												I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e2
4											N1c1a1a1a1a1a	I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2
40:815-819			O3a									
41												Q1b1a1a1h1a4b2
42538											M1c2b~	M1a3b2a~
43198											G2a1a1b2b~	G2a1a1b2
43943												G2a2b2a1a1a1a1a1a8~
44047												G2a2b2a1a1a1a1a1a9~
44115												G2a2b2a1a1b1a1a2a1a3b
44149												G2a2b2a1a1a2a2b2~
44154												I1a1b1a4a1a1b1a2
44259												I1a2a1a1a1a2a1a1
44279												G2a2b2a1a1b1a1a1a1a1d~
44409												G2a2b2a1a1b1a1a2b1a1b3
44455												G2a1a1a1a1a2b~
454.2												G1a2a~
45516												G2a2b2a1a1b1a1a2a1b1b1c~
4560												I1a2b2~
47z	O2b1a	O2b1a		O2b1	O2b1	O2b1a	O2b1a	O2b1a	O2b1a			
47z   (formerly O2b1a)			O2b1									
49:339-348			O3a									
4a												I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4
4a2												R1b1a1a2a1a2c1a4b
4b												I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a3, c2a3, d1, d1, d1a, d1a, d1b, d1b, d2, d2, c~, c~, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3a1, 3a1, 3a2, 3a2, 4, 4, 4a, 4a
4b2												I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a2, c2a2, c2a3, c2a3, c2a3, c2a3, d1, d1, d1, d1, d1a, d1a, d1a, d1a, d1b, d1b, d1b, d1b, d2, d2, d2, d2, c~, c~, c~, c~, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3~, 3~, 3a1, 3a1, 3a1, 3a1, 3a2, 3a2, 3a2, 3a2, 4, 4, 4, 4, 4a, 4a, 4a, 4a, 4b, 4b, 4b, 4b
4d2a2c2												J1a2a1a2d2b2b2c
5												b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, b~, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, I2a1a1a1a1a1a5, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a2, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, c2a3, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1a, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d1b, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, d2, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, I2a1a1a1a1a1a5e2, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3~, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a1, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 3a2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4a, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 4b2, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, 5b1a1, I2a1b2a1a1a2c1
50f2	B2b	B2b	B2b									
50f2(P)				B2b	B2b	B2b	B2b	B2b1	B2b1	B2b1	B2b1	B2b1
51:47-58			O3a									
5908												Q1b1a1a1i
5911												Q1b1a1a1i1a1
5964											E1b1a1a1a1c1a1a3c1b1a	E1b1a1a1a1c1a1a3c1b1a
5969											E1b1a1a1a1c1a1a3c2b1	E1b1a1a1a1c1a1a3c2b1
5980											E1b1a1a1a1c1a1a3a1b2a1	E1b1a1a1a1c1a1a3a1b2a1
